query,queryId,retrievalQuery,queryConcentration,queryQuantity,queryDosageForm,cardIndex,cardRank,pharmacy,upstreamName,canonicalName,cardMatchKey,cardPresentationKey,offerMatchKey,offerCombinationKey,offerVariantKey,offerDosageForm,offerUnitCount,offerConcentration,offerConcentrationLevel,offerParsedFirstMagnitude,brand,manufacturer,activeIngredient,brandSource,laboratory,isBioequivalent,lexicalMatch,concentrationMatch,cfmId,effective,hasStock,onlineUrl,offersInCard
ambroxol,ambroxol,ambroxol,,,,17,18,farmex,Mintamox 15 mg / 5 mL x 100 mL,Mintamox 15 mg / 5 mL x 100 mL,mintamox|100ml|100,mintamox|100ml|100|bio:unknown|brand:mintlab,mintamox|100ml|100,,,,,15mg/5ml,ratio,15mg/5ml,,Mintlab,,unknown,MINTLAB,,compatible,,CFM-014930,2690,true,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=mintamox%7C100ml%7C100&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fmintamox-15-mg-5-ml-x-100-ml%3F_pos%3D2%26_psq%3Dambroxol%26_psid%3D160672eda%26_ss%3De&cfmId=CFM-014930,1
ambroxol,ambroxol,ambroxol,,,,18,19,ecofarmacias,Tocalm Ambroxol Jarabe Adulto 100 mL (Prater),Tocalm Ambroxol Jarabe Adulto 100 mL (Prater),tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,tocalm|100ml,,ambroxol,fluid-oral,,,,100ml,Tocalm,,ambroxol,name,,,exact,,CFM-001430,2980,false,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=tocalm%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Ftocalm-ambroxol-jarabe-adulto-100-ml-prater%2F&cfmId=CFM-001430,2
ambroxol,ambroxol,ambroxol,,,,18,19,cruz-verde,Tocalm Adulto Ambroxol 30 mg/5mL Jarabe 100 mL,Tocalm Ambroxol Jarabe Adulto 100 mL (Prater),tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,tocalm|100ml,,ambroxol,fluid-oral,,30mg/5ml,ratio,30mg/5ml,Tocalm,,ambroxol,name,,,exact,,CFM-001430,4290,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=tocalm%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Ftocalm-adulto-ambroxol-30-mg-5ml-jarabe-100-ml%2F111093.html&cfmId=CFM-001430,2
ambroxol,ambroxol,ambroxol,,,,19,20,araucomed,Tocalm Adulto 30mg/5ml jarabe 100 ml.,Tocalm Adulto 30mg/5ml jarabe 100 ml.,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|form:fluid-oral,tocalm|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,,CFM-001430,2990,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=tocalm%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Ftocalm-adulto-30mg-5ml-jarabe-100ml&cfmId=CFM-001430,1
ambroxol,ambroxol,ambroxol,,,,20,21,ecofarmacias,Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml,Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml,pazbronq|100ml,pazbronq|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,pazbronq|100ml,,ambroxol,fluid-oral,,30mg/5ml,ratio,30mg/5ml,Pazbronq,,ambroxol,name,,,exact,,CFM-001428,2990,false,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=pazbronq%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Fpazbronq-ambroxol-clorhidrato-30-mg-5-ml-jarabe-100-ml%2F&cfmId=CFM-001428,1
ambroxol,ambroxol,ambroxol,,,,21,22,easyfarma,Ambroxol Pediatrico 15mg/5...,Ambroxol Pediatrico 15mg/5...,ambroxol|15mg,ambroxol|15mg|bio:unknown|brand:ascend|var:infantil,ambroxol|15mg,,infantil,,,,,15mg,,,ambroxol,unknown,,,exact,,CFM-001429,2990,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=ambroxol%7C15mg&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F105165-ambroxol-pediatrico-15mg-5-ml-100-ml-ascend.html&cfmId=CFM-001429,1
ambroxol,ambroxol,ambroxol,,,,22,23,easyfarma,Amrodil 30 Mg/5ml 100 Ml,Amrodil 30 Mg/5ml 100 Ml,amrodil|100ml,amrodil|100ml|bio:unknown|brand:unknown,amrodil|100ml,,,,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,,CFM-014924,2990,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=amrodil%7C100ml&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F105664-amrodil-30-mg-5ml-100-ml.html&cfmId=CFM-014924,1
ambroxol,ambroxol,ambroxol,,,,23,24,salcobrand,Ambroxol 30mg/5ml Jarabe 100ml,Ambroxol 30mg/5ml Jarabe 100ml,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:ambroxol|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,ambroxol,unknown,Ambroxol,,exact,,CFM-000068,3255,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fambroxol-30mg-5ml-jaraabe-100ml%3Fdefault_sku%3D1763358&cfmId=CFM-000068,1
ambroxol,ambroxol,ambroxol,,,,24,25,araucomed,Muxol Pediátrico 15mg/5ml jarabe x 100 ml.,Muxol Pediátrico 15mg/5ml jarabe x 100 ml.,muxol|100ml|100,muxol|100ml|100|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,muxol|100ml|100,,infantil,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,,,unknown,,,compatible,,CFM-001433,3490,true,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=muxol%7C100ml%7C100&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fmuxol-pediatrico-15mg-5ml-jarabe-100ml&cfmId=CFM-001433,1
ambroxol,ambroxol,ambroxol,,,,25,26,cruz-verde,Mintamox Pediatrico Ambroxol 15 mg/5mL Jarabe 100 mL,Mintamox Pediatrico Ambroxol 15 mg/5mL Jarabe 100 mL,mintamox|100ml,mintamox|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,mintamox|100ml,,infantil,fluid-oral,,15mg/5ml,ratio,15mg/5ml,Mintamox,,ambroxol,name,,,exact,,CFM-001436,3690,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=mintamox%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmintamox-pediatrico-ambroxol-15-mg-5ml-jarabe-100-ml%2F193055.html&cfmId=CFM-001436,1
ambroxol,ambroxol,ambroxol,,,,26,27,ahumada,Tocalm Pediatrico 15 mg/5 mL x 100 mL Jarabe,Tocalm Pediatrico 15 mg/5 mL x 100 mL Jarabe,tocalm|100ml|100,tocalm|100ml|100|bio:true|brand:unknown|var:infantil|form:fluid-oral,tocalm|100ml|100,,infantil,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,,,unknown,,true,compatible,,CFM-001435,3787,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=tocalm%7C100ml%7C100&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Ftocalm-pediatrico-15-mg-5-ml-x-100-ml-jarabe-47393.html&cfmId=CFM-001435,1
ambroxol,ambroxol,ambroxol,,,,27,28,cruz-verde,Mintamox Adulto Ambroxol 30 mg / 5 mL Jarabe 100 mL,Mintamox Adulto Ambroxol 30 mg / 5 mL Jarabe 100 mL,mintamox|100ml,mintamox|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,mintamox|100ml,,ambroxol,fluid-oral,,30mg/5ml,ratio,30mg/5ml,Mintamox,,ambroxol,name,,,exact,,CFM-001436,3790,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=mintamox%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmintamox-adulto-ambroxol-30-mg-5-ml-jarabe-100-ml%2F193049.html&cfmId=CFM-001436,1
ambroxol,ambroxol,ambroxol,,,,28,29,salcobrand,Muxol Adulto Ambroxol Jarabe 100ml,Muxol Adulto Ambroxol Jarabe 100ml,muxol|100ml,muxol|100ml|bio:unknown|brand:muxol|var:ambroxol|form:fluid-oral,muxol|100ml,,ambroxol,fluid-oral,,,,100ml,Muxol,,ambroxol,structured,Muxol,,exact,,CFM-000997,3921,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=muxol%7C100ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fmuxol-adulto-ambroxol-jarabe-100ml%3Fdefault_sku%3D2979230&cfmId=CFM-000997,1
ambroxol,ambroxol,ambroxol,,,,29,30,araucomed,Muxol Adulto 30mg/5ml jarabe 100ml,Muxol Adulto 30mg/5ml jarabe 100ml,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,muxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,,CFM-000997,3990,true,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=muxol%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fmuxol-adulto-30mg-5ml-jarabe-100ml&cfmId=CFM-000997,1
ambroxol,ambroxol,ambroxol,,,,30,31,cruz-verde,Muxol Jarabe Adulto Ambroxol 600 mg / 100 ml,Muxol Jarabe Adulto Ambroxol 600 mg / 100 ml,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,muxol|100ml,,ambroxol,fluid-oral,,600mg/100ml,ratio,600mg/100ml,Muxol,,ambroxol,name,,,exact,,CFM-000997,4590,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=muxol%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmuxol-jarabe-adulto-ambroxol-600-mg-100-ml%2F6179.html&cfmId=CFM-000997,1
ambroxol,ambroxol,ambroxol,,,,31,32,ahumada,MUXOL JARABE ADULTO Ambroxol Clorhidrato 600 mg 100 ml,MUXOL JARABE ADULTO Ambroxol Clorhidrato 600 mg 100 ml,muxol|100ml,muxol|100ml|bio:true|brand:unknown|var:ambroxol|form:fluid-oral,muxol|100ml,,ambroxol,fluid-oral,,600mg,absolute,600mg,MUXOL,,ambroxol,name,,true,exact,,CFM-000997,4590,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=muxol%7C100ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fmuxol-jarabe-adulto-ambroxol-clorhidrato-600-mg-100-ml-9257.html&cfmId=CFM-000997,1
ambroxol,ambroxol,ambroxol,,,,32,33,sermecoop,Muxol (ambroxol) 15mg/5ml Jarabe 100ml,Muxol (ambroxol) 15mg/5ml Jarabe 100ml,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,muxol|100ml,,,fluid-oral,,15mg/5ml,ratio,15mg/5ml,Muxol,,ambroxol,name,,,exact,,CFM-000997,4890,true,https://comparafarma-api.vercel.app/api/go?slug=sermecoop&matchKey=muxol%7C100ml&url=https%3A%2F%2Fwww.farmaciasermecoop.cl%2Findex.php%2Fonline%2Fdetalleproducto%3Fp_%3D16812%26d_%3D1&cfmId=CFM-000997,1
ambroxol,ambroxol,ambroxol,,,,33,34,araucomed,Broncot 15mg/5ml Jarabe x 120 ml.,Broncot 15mg/5ml Jarabe x 120 ml.,broncot|120ml|120,broncot|120ml|120|bio:unknown|brand:unknown|form:fluid-oral,broncot|120ml|120,,,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,,,unknown,,,compatible,,CFM-001432,4990,true,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=broncot%7C120ml%7C120&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fbroncot-gft-15mg-5ml-sin-azucar-120ml&cfmId=CFM-001432,1
ambroxol,ambroxol,ambroxol,,,,34,35,farmex,Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL,Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL,muxol|100ml|100,muxol|100ml|100|bio:unknown|brand:eurolab|var:ambroxol|form:fluid-oral,muxol|100ml|100,,ambroxol,fluid-oral,,30mg/5ml,ratio,30mg/5ml,Muxol,Eurolab,ambroxol,name,EUROLAB,,exact,,CFM-001433,5190,true,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=muxol%7C100ml%7C100&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fmuxol-jarabe-adulto-ambroxol%3F_pos%3D1%26_psq%3Dambroxol%26_psid%3D160672eda%26_ss%3De&cfmId=CFM-001433,1
ambroxol,ambroxol,ambroxol,,,,35,36,cruz-verde,Ambroxol 15 mg/5mL Jarabe 100 mL,Ambroxol 15 mg/5mL Jarabe 100 mL,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,,ambroxol,unknown,,,exact,,CFM-000068,5490,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fambroxol-15-mg-5ml-jarabe-100-ml%2F2224.html&cfmId=CFM-000068,1
ambroxol,ambroxol,ambroxol,,,,36,37,easyfarma,Muxol Adulto Jarabe...,Muxol Adulto Jarabe...,muxol,muxol|bio:unknown|brand:unknown|form:fluid-oral,muxol,,,fluid-oral,,,,,,,,unknown,,,compatible,,CFM-001440,5490,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=muxol&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F25414-muxol-adulto-jarabe-x-100ml.html&cfmId=CFM-001440,1
ambroxol,ambroxol,ambroxol,,,,37,38,easyfarma,Muxol Pediatrico Jarabe x...,Muxol Pediatrico Jarabe x...,muxol,muxol|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,muxol,,infantil,fluid-oral,,,,,,,,unknown,,,compatible,,CFM-001440,5490,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=muxol&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F25413-muxol-pediatrico-jarabe-x-100ml.html&cfmId=CFM-001440,1
ambroxol,ambroxol,ambroxol,,,,38,39,salcobrand,Muxol Pediátrico Ambroxol Jarabe 100ml,Muxol Pediátrico Ambroxol Jarabe 100ml,muxol|100ml,muxol|100ml|bio:unknown|brand:muxolpediatrico|var:infantil|form:fluid-oral,muxol|100ml,,infantil,fluid-oral,,,,100ml,Muxol Pediatrico,,ambroxol,structured,Muxol Pediatrico,,exact,,CFM-000997,5829,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=muxol%7C100ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fmuxol-pediatrico-ambroxol-jarabe-100ml%3Fdefault_sku%3D2979220&cfmId=CFM-000997,1
ambroxol,ambroxol,ambroxol,,,,39,40,araucomed,Broncot Forte 30mg/5ml sin azucar 120 ml.,Broncot Forte 30mg/5ml sin azucar 120 ml.,broncot|120ml,broncot|120ml|bio:unknown|brand:unknown|var:forte,broncot|120ml,,forte,,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,,CFM-001431,5990,true,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=broncot%7C120ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fbroncot-gft-forte-30mg-5ml-sin-azucar-120ml&cfmId=CFM-001431,1
ambroxol,ambroxol,ambroxol,,,,40,41,cruz-verde,Muxol Jarabe Pediátrico Ambroxol 300 mg / 100 ml,Muxol Jarabe Pediátrico Ambroxol 300 mg / 100 ml,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,muxol|100ml,,infantil,fluid-oral,,300mg/100ml,ratio,300mg/100ml,Muxol,,ambroxol,name,,,exact,,CFM-000997,6190,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=muxol%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmuxol-jarabe-pediatrico-ambroxol-300-mg-100-ml%2F6178.html&cfmId=CFM-000997,1
ambroxol,ambroxol,ambroxol,,,,41,42,ahumada,Muxol Jarabe Pediátrico Ambroxol Clorhidrato 300 mg 100 ml,Muxol Jarabe Pediátrico Ambroxol Clorhidrato 300 mg 100 ml,muxol|100ml,muxol|100ml|bio:true|brand:unknown|var:infantil|form:fluid-oral,muxol|100ml,,infantil,fluid-oral,,300mg,absolute,300mg,Muxol,,ambroxol,name,,true,exact,,CFM-000997,6190,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=muxol%7C100ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fmuxol-jarabe-pediatrico-ambroxol-clorhidrato-300-mg-100-ml-9166.html&cfmId=CFM-000997,1
ambroxol,ambroxol,ambroxol,,,,42,43,araucomed,"Broncot 7,5mg/ml gotas x 30 ml.","Broncot 7,5mg/ml gotas x 30 ml.",broncot|30ml|30,broncot|30ml|30|bio:unknown|brand:unknown|form:fluid-oral,broncot|30ml|30,,,fluid-oral,,7.5mg/1ml,ratio,7.5mg/1ml,,,,unknown,,,compatible,,CFM-001442,6490,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=broncot%7C30ml%7C30&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fbroncot-75mg-ml-gotas-30ml&cfmId=CFM-001442,1
ambroxol,ambroxol,ambroxol,,,,43,44,farmex,Muxol 30 mg x 20 comprimidos,Muxol 30 mg x 20 comprimidos,muxol|30mg|20,muxol|30mg|20|bio:unknown|brand:unknown|form:solid-oral,muxol|30mg|20,,,solid-oral,20,,,30mg,,,,unknown,,,compatible,,CFM-001437,6877,true,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=muxol%7C30mg%7C20&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fmuxol-30-mg-x-20-comprimidos-5%3F_pos%3D5%26_psq%3Dambroxol%26_psid%3D160672eda%26_ss%3De&cfmId=CFM-001437,1
ambroxol,ambroxol,ambroxol,,,,44,45,farmex,Broncot Forte G.T.F. Jarabe 30 mg / 5 mL x 120 mL,Broncot Forte G.T.F. Jarabe 30 mg / 5 mL x 120 mL,broncot|120ml|120,broncot|120ml|120|bio:unknown|brand:abbott|var:forte|form:fluid-oral,broncot|120ml|120,,forte,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Abbott,,unknown,ABBOTT,,compatible,,CFM-001432,6990,true,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=broncot%7C120ml%7C120&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fbroncot-forte-g-t-f-jarabe-30-mg-5ml%3F_pos%3D8%26_psq%3Dambroxol%26_psid%3D160672eda%26_ss%3De&cfmId=CFM-001432,1
ambroxol,ambroxol,ambroxol,,,,45,46,ahumada,Broncot Fte G.F.T. S/Azu. 30mg/5ml 120ml,Broncot Fte G.F.T. S/Azu. 30mg/5ml 120ml,broncot|120ml,broncot|120ml|bio:unknown|brand:unknown|var:fte,broncot|120ml,,fte,,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,,CFM-001431,7807,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=broncot%7C120ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fbroncot-fte-g.f.t.-s-azu.-30mg-5ml-120ml-50483.html&cfmId=CFM-001431,1
ambroxol,ambroxol,ambroxol,,,,46,47,easyfarma,"Broncot Gotas 7,5 mg/ml x...","Broncot Gotas 7,5 mg/ml x...",broncot|7.5mg,broncot|7.5mg|bio:unknown|brand:unknown|form:fluid-oral,broncot|7.5mg,,,fluid-oral,,7.5mg/1ml,ratio,7.5mg/1ml,,,,unknown,,,compatible,,CFM-001438,7990,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=broncot%7C7.5mg&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F26341-broncot-gotas-x-30ml.html&cfmId=CFM-001438,1
ambroxol,ambroxol,ambroxol,,,,47,48,salcobrand,Broncot Ambroxol 30mg/5ml 120ml,Broncot Ambroxol 30mg/5ml 120ml,broncot|120ml,broncot|120ml|bio:unknown|brand:broncot|var:ambroxol,broncot|120ml,,ambroxol,,,30mg/5ml,ratio,30mg/5ml,Broncot,,ambroxol,structured,Broncot,,exact,,CFM-001431,8095,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=broncot%7C120ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fbroncot-ambroxol-30mg-5ml-120ml%3Fdefault_sku%3D2830326&cfmId=CFM-001431,1
ambroxol,ambroxol,ambroxol,,,,48,49,cruz-verde,Mucosolvan-Dual Infantil 120Ml,Mucosolvan-Dual Infantil 120Ml,mucosolvandual|120ml,mucosolvandual|120ml|bio:unknown|brand:unknown|var:infantil,mucosolvandual|120ml,,infantil,,,,,120ml,,,,unknown,,,compatible,,CFM-000990,8290,false,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=mucosolvandual%7C120ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmucosolvan-dual-infantil-120ml%2F65002.html&cfmId=CFM-000990,1
ambroxol,ambroxol,ambroxol,,,,49,50,easyfarma,Broncot Pediatrico GFT...,Broncot Pediatrico GFT...,broncot,broncot|bio:unknown|brand:unknown|var:infantil,broncot,,infantil,,,,,,,,,unknown,,,compatible,,CFM-001434,8990,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=broncot&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F24773-broncot-gft-jarabe.html&cfmId=CFM-001434,1
ambroxol,ambroxol,ambroxol,,,,50,51,ahumada,Broncot GFT 15 mg/5 mL x 120 mL Jarabe,Broncot GFT 15 mg/5 mL x 120 mL Jarabe,broncot|120ml|120,broncot|120ml|120|bio:unknown|brand:unknown|var:gft|form:fluid-oral,broncot|120ml|120,,gft,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,,,unknown,,,compatible,,CFM-001432,9427,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=broncot%7C120ml%7C120&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fbroncot-gft-15-mg-5-ml-x-120-ml-jarabe-50485.html&cfmId=CFM-001432,1
ambroxol,ambroxol,ambroxol,,,,51,52,salcobrand,Muxol Ambroxol 20 Comprimidos,Muxol Ambroxol 20 Comprimidos,muxol|20,muxol|20|bio:unknown|brand:muxol|var:ambroxol|form:solid-oral,muxol|20,,ambroxol,solid-oral,20,,,,Muxol,,ambroxol,structured,Muxol,,exact,,CFM-001441,10031,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=muxol%7C20&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fmuxol-ambroxol-20-comprimidos%3Fdefault_sku%3D2979200&cfmId=CFM-001441,1
ambroxol,ambroxol,ambroxol,,,,52,53,cruz-verde,Muxol Ambroxol 30 mg 20 Comprimidos,Muxol Ambroxol 30 mg 20 Comprimidos,muxol|30mg|20,muxol|30mg|20|bio:unknown|brand:unknown|var:ambroxol|form:solid-oral,muxol|30mg|20,,ambroxol,solid-oral,20,,,30mg,Muxol,,ambroxol,name,,,exact,,CFM-001437,11190,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=muxol%7C30mg%7C20&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmuxol-ambroxol-30-mg-20-comprimidos%2F6176.html&cfmId=CFM-001437,1
ambroxol,ambroxol,ambroxol,,,,53,54,ahumada,Broncot 7.5 mg/ml Gotas Fco. 30ml,Broncot 7.5 mg/ml Gotas Fco. 30ml,broncot|30ml,broncot|30ml|bio:unknown|brand:unknown|form:fluid-oral,broncot|30ml,,,fluid-oral,,7.5mg/1ml,ratio,7.5mg/1ml,,,,unknown,,,compatible,,CFM-001439,13402,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=broncot%7C30ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fbroncot-7.5-mg-ml-gotas-fco.-30ml-4499.html&cfmId=CFM-001439,1
ambroxol,ambroxol,ambroxol,,,,54,55,cruz-verde,Broncot GFT Pediatrico Ambroxol 15 mg/5mL Jarabe 120 mL,Broncot GFT Pediatrico Ambroxol 15 mg/5mL Jarabe 120 mL,broncot|120ml,broncot|120ml|bio:unknown|brand:unknown|var:gft|form:fluid-oral,broncot|120ml,,gft,fluid-oral,,15mg/5ml,ratio,15mg/5ml,Broncot,,ambroxol,name,,,exact,,CFM-001431,13540,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=broncot%7C120ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fbroncot-gft-pediatrico-ambroxol-15-mg-5ml-jarabe-120-ml%2F256478.html&cfmId=CFM-001431,1
ambroxol,ambroxol,ambroxol,,,,55,56,salcobrand,Broncot Ambroxol Clorhidrato 7.5mg/ml Gotas 30ml,Broncot Ambroxol Clorhidrato 7.5mg/ml Gotas 30ml,broncot|30ml,broncot|30ml|bio:unknown|brand:broncot|var:ambroxol|form:fluid-oral,broncot|30ml,,ambroxol,fluid-oral,,7.5mg/1ml,ratio,7.5mg/1ml,Broncot,,ambroxol,structured,Broncot,,exact,,CFM-001439,15311,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=broncot%7C30ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fbroncot-ambroxol-clorhidrato-7-5mg-ml-gotas-30ml%3Fdefault_sku%3D2836255&cfmId=CFM-001439,1
ambroxol,ambroxol,ambroxol,,,,56,57,cruz-verde,"Broncot Ambroxol 7,5 mg/mL Gotas 30 mL","Broncot Ambroxol 7,5 mg/mL Gotas 30 mL",broncot|30ml,broncot|30ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,broncot|30ml,,ambroxol,fluid-oral,,7.5mg/1ml,ratio,7.5mg/1ml,Broncot,,ambroxol,name,,,exact,,CFM-001439,16990,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=broncot%7C30ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fbroncot-ambroxol-7-5-mg-ml-gotas-30-ml%2F4081.html&cfmId=CFM-001439,1
amoxicilina 500mg,amoxicilina-500mg,amoxicilina,500mg,,,0,1,araucomed,Amoxicilina 500 mg x 21 cápsulas. (Mintlab),Amoxicilina 500 mg x 21 cápsulas. (Mintlab),amoxicilina|500mg|21,amoxicilina|500mg|21|bio:unknown|brand:mintlab|form:solid-oral,amoxicilina|500mg|21,,,solid-oral,21,,,500mg,,Mintlab,amoxicilina,unknown,Mintlab,,exact,exact,CFM-000884,1690,true,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=amoxicilina%7C500mg%7C21&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fantibioticos%2Famoxicilina-500mg-x21cap-mintlab&cfmId=CFM-000884,1
