classification,query,generatedURL,sourcePresentationKey,resolvedPresentationKey,resolverSearchQuery
RESOLVED_EXACT,cetirizina,/medicamento/cetirizina-diclorhidrato-10-mg-x-30-comp-recubiertos-1l86b02sk1kcz,cetirizina|10mg|30|bio:true|brand:unknown|var:diclorhidrato|form:solid-oral,cetirizina|10mg|30|bio:true|brand:unknown|var:diclorhidrato|form:solid-oral,"cetirizina diclorhidrato 10 mg x 30 comp recubiertos"
RESOLVED_EXACT,naproxeno,/medicamento/naproxeno-550-mg-x-10-comp-recubiertos-andromaco-descuento-2gpy0eg3bxfm9,naproxeno|550mg|10|bio:true|brand:unknown|form:solid-oral,naproxeno|550mg|10|bio:true|brand:unknown|form:solid-oral,"naproxeno 550 mg x 10 comp recubiertos andromaco descuento"
RESOLVED_EXACT,naproxeno,/medicamento/naproxeno-550mg-x10com-eurofarma-6qwr46ecbk15,naproxeno|550mg|10|bio:unknown|brand:eurofarma|form:solid-oral,naproxeno|550mg|10|bio:unknown|brand:eurofarma|form:solid-oral,"naproxeno 550mg x10com eurofarma"
RESOLVED_EXACT,naproxeno,/medicamento/naproxeno-550-mg-x-10-comprimidos-lilpghco9c4b,naproxeno|550mg|10|bio:unknown|brand:andromaco|form:solid-oral,naproxeno|550mg|10|bio:unknown|brand:andromaco|form:solid-oral,"naproxeno 550 mg x 10 comprimidos"
RESOLVED_EXACT,naproxeno,/medicamento/naproxeno-sodico-550-mg-x-10-comprimidos-br4lyj2kdjc2,naproxeno|550mg|10|bio:unknown|brand:mintlab|form:solid-oral,naproxeno|550mg|10|bio:unknown|brand:mintlab|form:solid-oral,"naproxeno sodico 550 mg x 10 comprimidos"
RESOLVED_EXACT,naproxeno,/medicamento/naproxeno-550-mg-10-comprimidos-recubiertos-26p8iwnf35tjh,naproxeno|550mg|10|bio:true|brand:andromaco|form:solid-oral,naproxeno|550mg|10|bio:true|brand:andromaco|form:solid-oral,"naproxeno 550 mg 10 comprimidos recubiertos"
RESOLVED_EXACT,naproxeno,/medicamento/naproxeno-550-mg-x-10-comprimidos-3rx6fwfugqvgz,naproxeno|550mg|10|bio:unknown|brand:unknown|form:solid-oral,naproxeno|550mg|10|bio:unknown|brand:unknown|form:solid-oral,"naproxeno 550 mg x 10 comprimidos"
RESOLVED_EXACT,naproxeno,/medicamento/naproxeno-sodico-550-mg-10-339rfuss1mwl2,naproxeno|550mg|bio:unknown|brand:unknown,naproxeno|550mg|bio:unknown|brand:unknown,"naproxeno sodico 550 mg 10"
RESOLVED_EXACT,naproxeno,/medicamento/naproxeno-sodico-550-mg-10-dugtf9b5zrmy,naproxeno|550mg|bio:unknown|brand:andromaco,naproxeno|550mg|bio:unknown|brand:andromaco,"naproxeno sodico 550 mg 10"
RESOLVED_WRONG_PRODUCT,loratadina,/medicamento/loratadina-10-mg-por-30-comprimidos-descuento-q4x6ozinxr3z,loratadina|10mg|30|bio:true|brand:unknown|form:solid-oral,loratadina|10mg|30|bio:unknown|brand:unknown|form:solid-oral,"loratadina 10 mg por 30 comprimidos descuento"
RESOLVED_EXACT,loratadina,/medicamento/loratadina-10-mg-30-comprimidos-3ftizhms37qnh,loratadina|10mg|30|bio:true|brand:teva|form:solid-oral,loratadina|10mg|30|bio:true|brand:teva|form:solid-oral,"loratadina 10 mg 30 comprimidos"
RESOLVED_EXACT,loratadina,/medicamento/loratadina-10-mg-x-30-comprimidos-3roc96y4q2hm6,loratadina|10mg|30|bio:unknown|brand:chile|form:solid-oral,loratadina|10mg|30|bio:unknown|brand:chile|form:solid-oral,"loratadina 10 mg x 30 comprimidos"
RESOLVED_EXACT,loratadina,/medicamento/loratadina-10mg-x30com-opko-o8p10qpwfr98,loratadina|10mg|30|bio:unknown|brand:opko|form:solid-oral,loratadina|10mg|30|bio:unknown|brand:opko|form:solid-oral,"loratadina 10mg x30com opko"
RESOLVED_EXACT,loratadina,/medicamento/loratadina-10-mg-x-30-comp-1ey2kvp9l715,loratadina|10mg|30|bio:unknown|brand:unknown|form:solid-oral,loratadina|10mg|30|bio:unknown|brand:unknown|form:solid-oral,"loratadina 10 mg x 30 comp"
RESOLVED_EXACT,loratadina,/medicamento/loratadina-10-mg-x-30-comprimidos-ley-cenabast-7irjvewcm9an,loratadina|10mg|30|bio:unknown|brand:ascend|form:solid-oral,loratadina|10mg|30|bio:unknown|brand:ascend|form:solid-oral,"loratadina 10 mg x 30 comprimidos ley cenabast"
RESOLVED_EXACT,loratadina,/medicamento/loratadina-10-mg-x-30-comprimiidos-ascend-cenabast-25t4pgmjt6gs9,loratadina|10mg|30|bio:unknown|brand:ascend,loratadina|10mg|30|bio:unknown|brand:ascend,"loratadina 10 mg x 30 comprimiidos ascend cenabast"
RESOLVED_EXACT,loratadina,/medicamento/loptame-jarabe-5mg-5ml-x60ml-bvw3rqvdvsnw,loptame|60ml|60|bio:unknown|brand:eurofarma|form:fluid-oral,loptame|60ml|60|bio:unknown|brand:eurofarma|form:fluid-oral,"loptame jarabe 5mg 5ml x60ml"
RESOLVED_EXACT,clotrimazol,/medicamento/clotrimazol-1-crema-20-g-4o87ajadhyzh,clotrimazol|20000mg|bio:false|brand:pasteur|form:topical,clotrimazol|20000mg|bio:false|brand:pasteur|form:topical,"clotrimazol 1 crema 20 g"
NOT_FOUND,clotrimazol,/medicamento/clotrimazol-crema-topica-al-1-x-20-g-surfarma-23poitc26mv6o,clotrimazol|20000mg|20|bio:unknown|brand:unknown|var:al|form:topical,,"clotrimazol crema topica al 1 x 20 g surfarma"
NOT_FOUND,clotrimazol,/medicamento/clotrimazol-crema-topica-1-20g-ethon-cenabast-11k1hgfzyyees,clotrimazol|20000mg|bio:unknown|brand:unknown|form:topical,,"clotrimazol crema topica 1 20g ethon cenabast"
RESOLVED_EXACT,clotrimazol,/medicamento/clotrimazol-crema-topica-1-x-20-g-3fi8p6b5z9fiw,clotrimazol|20000mg|20|bio:unknown|brand:unknown|form:topical,clotrimazol|20000mg|20|bio:unknown|brand:unknown|form:topical,"clotrimazol crema topica 1 x 20 g"
RESOLVED_EXACT,clotrimazol,/medicamento/clotrimazol-betametasona-dipropionato-crema-topica-15g-60ebh7v9gdbo,clotrimazol|15000mg|bio:unknown|brand:unknown|combo:betametasona|form:topical,clotrimazol|15000mg|bio:unknown|brand:unknown|combo:betametasona|form:topical,"clotrimazol betametasona dipropionato crema topica 15g"
RESOLVED_EXACT,clotrimazol,/medicamento/clotrimazol-betametasona-x-15-g-crema-topica-hospifarma-chile-ltd-22rhq6qmay50g,clotrimazol|15000mg|15|bio:unknown|brand:unknown|combo:betametasona|form:topical,clotrimazol|15000mg|15|bio:unknown|brand:unknown|combo:betametasona|form:topical,"clotrimazol betametasona x 15 g crema topica hospifarma chile ltd"
RESOLVED_EXACT,clotrimazol,/medicamento/clotrimazol-1-g-betametasona-0-05-g-crema-topica-15-g-3utk2lyqrxw6s,clotrimazol|15000mg|bio:false|brand:opko|form:topical,clotrimazol|15000mg|bio:false|brand:opko|form:topical,"clotrimazol 1 g betametasona 0 05 g crema topica 15 g"
RESOLVED_EXACT,clotrimazol,/medicamento/clotrimazol-crema-topica-1-x-20-g-356glcxr0jc3a,clotrimazol|20000mg|20|bio:unknown|brand:curespring|form:topical,clotrimazol|20000mg|20|bio:unknown|brand:curespring|form:topical,"clotrimazol crema topica 1 x 20 g"
RESOLVED_EXACT,glicerina,/medicamento/palmolive-jabon-en-barra-humectante-oliva-y-aloe-vera-85-g-2xgk5ldrsrhb8,palmolive|85000mg|bio:unknown|brand:palmolive|var:jabon,palmolive|85000mg|bio:unknown|brand:palmolive|var:jabon,"palmolive jabon en barra humectante oliva y aloe vera 85 g"
RESOLVED_EXACT,glicerina,/medicamento/sany-farm-alco-gel70-60m-52h9m05l8kg7,sanyfarm|bio:unknown|brand:unknown|var:alco,sanyfarm|bio:unknown|brand:unknown|var:alco,"sany farm alco gel70 60m"
RESOLVED_EXACT,glicerina,/medicamento/jabon-glicerina-idem-70g-394rv28ad8tcg,jabon|70000mg|bio:unknown|brand:unknown|var:glicerina,jabon|70000mg|bio:unknown|brand:unknown|var:glicerina,"jabon glicerina idem 70g"
NOT_FOUND,glicerina,/medicamento/ballerina-jabon-de-glicerina-750-ml-1gno4wnnjz0xe,ballerina|750ml|bio:unknown|brand:unknown|var:jabon,,"ballerina jabon de glicerina 750 ml"
RESOLVED_EXACT,glicerina,/medicamento/jabon-de-glicerina-coco-340-jptg1n1e6whg,jabon|bio:unknown|brand:elite|var:glicerina,jabon|bio:unknown|brand:elite|var:glicerina,"jabon de glicerina coco 340"
RESOLVED_EXACT,glicerina,/medicamento/jabon-liquido-de-glicerina-ph-neutro-flor-de-lavanda-500-ml-33itye6dgl3pz,jabon|500ml|bio:unknown|brand:colorbel|var:glicerina,jabon|500ml|bio:unknown|brand:colorbel|var:glicerina,"jabon liquido de glicerina ph neutro flor de lavanda 500 ml"
RESOLVED_EXACT,glicerina,/medicamento/cranberry-hidrogel-pomo-15-gramos-18bw6cxvcp9s5,cranberry|bio:unknown|brand:unknown|var:hidrogel,cranberry|bio:unknown|brand:unknown|var:hidrogel,"cranberry hidrogel pomo 15 gramos"
NOT_FOUND,glicerina,/medicamento/babyland-jabon-de-glicerina-ph-neutro-750-ml-hcqa8ugs71j9,babyland|750ml|bio:unknown|brand:unknown|var:jabon,,"babyland jabon de glicerina ph neutro 750 ml"
